Campaign Name,Ad Group Name,Targeting,Match Type,Current Bid,Proposed Bid,Change (%),Action,Clicks,Impressions,Cost,Sales,Orders,ACOS (%),CVR (%),CPC,Target ACOS (%),Confidence,Rationale
"SP Manual General Keywords ALL Paint Brush","SP Manual General Keywords Paint Brush - 12 SETS + 24 NYLON","pennello pittura",PHRASE,0.51,0.38,-25.5,decrease,33,0,17.85,55.79,5,32.0,15.15,0.54,20,OK,"ACOS 32.0% exceeds target range (16%-22%). CVR: 15.15%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/32.0) = 0.32, capped at -25%."
"SP Manual Keywords HOG Round Paint Brush","SP Manual Keywords HOG Round Paint Brush","pennello punta",BROAD,0.51,0.38,-25.5,decrease,39,0,17.97,8.98,1,200.1,2.56,0.46,20,OK,"ACOS 200.1% exceeds target range (16%-22%). CVR: 2.56%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/200.1) = 0.05, capped at -25%."
"Stretched Canvas MANUAL Detail","Stretched Canvas MANUAL LARGE","tele da dipingere grandi",BROAD,0.51,0.38,-25.5,decrease,124,0,70.41,236.00,4,29.8,3.23,0.57,20,Good,"ACOS 29.8% exceeds target range (16%-22%). CVR: 3.23%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/29.8) = 0.34, capped at -25%."
"Premium Stretched Canvas AUTO DETAIL","Premium Stretched Canvas AUTO 90x120","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.83,0.62,-25.3,decrease,79,0,60.46,69.63,1,86.8,1.27,0.77,20,OK,"ACOS 86.8% exceeds target range (16%-22%). CVR: 1.27%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.83 × (20/86.8) = 0.19, capped at -25%."
"Stretched Canvas AUTO Detail","Stretched Canvas AUTO 45x60","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.47,0.35,-25.3,decrease,49,0,22.95,76.02,2,30.2,4.08,0.47,20,OK,"ACOS 30.2% exceeds target range (16%-22%). CVR: 4.08%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.47 × (20/30.2) = 0.31, capped at -25%."
"Books MANUAL","Water MANUAL","album per acquerello",BROAD,0.28,0.21,-25.0,decrease,197,0,61.45,115.17,10,53.4,5.08,0.31,20,Good,"ACOS 53.4% exceeds target range (16%-22%). CVR: 5.08%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/53.4) = 0.10, capped at -25%."
"Rotary Cutter Product Target (UD)","Rotary Cutter Product Target","asin=""B0012FHV8G""",TARGETING_EXPRESSION,0.28,0.21,-25.0,decrease,514,0,219.12,742.39,68,29.5,13.23,0.43,20,High,"ACOS 29.5% exceeds target range (16%-22%). CVR: 13.23%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/29.5) = 0.19, capped at -25%."
"Lineal Product Target (D)","Lineal Product Target","asin=""B0CCKTHK84""",TARGETING_EXPRESSION,0.28,0.21,-25.0,decrease,108,0,30.41,17.78,2,171.0,1.85,0.28,20,Good,"ACOS 171.0% exceeds target range (16%-22%). CVR: 1.85%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/171.0) = 0.03, capped at -25%."
"Books MANUAL","Water MANUAL","blocchi da acquerello",BROAD,0.28,0.21,-25.0,decrease,81,0,24.63,71.88,6,34.3,7.41,0.30,20,OK,"ACOS 34.3% exceeds target range (16%-22%). CVR: 7.41%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/34.3) = 0.16, capped at -25%."
"Books CAT (D)","Water CAT","category=""Carta per acquarelli""",TARGETING_EXPRESSION,0.16,0.12,-25.0,decrease,36,0,6.64,13.07,1,50.8,2.78,0.18,20,OK,"ACOS 50.8% exceeds target range (16%-22%). CVR: 2.78%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.16 × (20/50.8) = 0.06, capped at -25%."
