State,Campaigns,Status,Type,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(EUR),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(EUR),CPC(EUR),DPV,Orders,Sales(EUR),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(EUR),% of sales NTB,Viewable impressions,VCPM(EUR),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(EUR)
ENABLED,Cutting Mat MANUAL A2 Hellgrau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,16.666666666666664%,CPC,16,1,0.0625,0.73,0.73,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Hellgrun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,16.666666666666664%,CPC,23,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Pink,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,42.4%,CPC,825,12,0.0145,6.58,0.55,0,1,21.81,0.3017,3.3146,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Purple,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,31.57894736842105%,CPC,490,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Taupe,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Beige,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,50.0%,CPC,10,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Black,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,35.751295336787564%,CPC,773,30,0.0388,17.55,0.59,0,15,217.11,0.0808,12.3709,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Blau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,32.28699551569507%,CPC,211,15,0.0711,11.13,0.74,0,11,146.86,0.0758,13.195,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Braun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,<5%,CPC,1,1,1,0.85,0.85,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Dunkelblau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Dunkelgrau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,50.0%,CPC,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Dunkelgrun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Grau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,11.11111111111111%,CPC,101,3,0.0297,1.59,0.53,0,1,13.40,0.1187,8.4277,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Grun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,22.448979591836736%,CPC,51,1,0.0196,0.20,0.20,0,1,13.40,0.0149,67,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Hellblau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,20.0%,CPC,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
