source_table,campaign_id,campaign_name,country,campaign_status
"brand_search_terms","315249417870369","SB VID 280 Stretched Canvas Defensive to 380 Stretched Canvas","US","ARCHIVED"
"brand_search_terms","522224572438435","SB VID Cutting Mat Defensive to Mat","US",""
"brand_search_terms","450017929539581","SB VID Cutting Mat Defensive to Mat","ES",""
"brand_search_terms","540148758058671","SB VID Cutting Mat Defensive to Mat","GB","ENABLED"
"brand_search_terms","383149606688434","SB VID 280 Stretched Canvas MANUAL DETAIL","US","ENABLED"
"brand_search_terms","531845039807022","SB VID Cutting Mat MANUAL ALL","GB","ENABLED"
"brand_search_terms","480418488941880","Stretched Canvas Brand Store Video MANUAL","US",""
"brand_search_terms","370993713024007","SB VID 380 Stretched Canvas Defensive to 280 Stretched Canvas","GB","ENABLED"
"brand_search_terms","496790471925996","SB VID Cutting Mat Defensive to Mat","JP","ENABLED"
"brand_search_terms","528018809052679","SB VID Cutting Mat CAT ALL","GB",""
"brand_search_terms","531853068173372","SB VID Cutting Mat MANUAL ALL","IT","ENABLED"
"brand_search_terms","450017929539581","SB VID Cutting Mat Defensive to Mat","ES","ENABLED"
"brand_search_terms","361517085222525","SB VID 280 Stretched Canvas MANUAL DETAIL","FR","ENABLED"
"brand_search_terms","529718614010299","SB VID Cutting Mat CAT ALL","ES","ENABLED"
"brand_search_terms","488378373068061","SB VID Cutting Mat Defensive to Mat","FR","ENABLED"
"brand_search_terms","380957612871122","SB VID Cutting Mat Defensive to Mat","IT","ENABLED"
"brand_search_terms","557100236062425","SB VID 280 Stretched Canvas CAT ALL","US","ENABLED"
"brand_search_terms","364648028968311","SB VID Cutting Mat CAT ALL","IT","ENABLED"
"brand_search_terms","506150338812345","SB VID 380 Stretched Canvas Defensive to 380 Stretched Canvas","GB","ENABLED"
"brand_search_terms","522224572438435","SB VID Cutting Mat Defensive to Mat","US","ENABLED"
"brand_search_terms","118268506133027","Detail Paint Brush Vid","DE",""
"brand_search_terms","413838476854176","SB VID Cutting Mat MANUAL ALL","FR","ENABLED"
"brand_search_terms","496184004053963","SB VID Cutting Mat MANUAL ALL","US",""
"brand_search_terms","461824020559496","SB VID Cutting Mat MANUAL ALL","DE",""
"brand_search_terms","323887482225087","SB VID 380 Stretched Canvas MANUAL DETAIL","GB","ENABLED"
"brand_search_terms","493993399591669","SB VID 280 Stretched Canvas Defensive to 280 Stretched Canvas","US","ENABLED"
"brand_search_terms","394220869717013","SB VID Paint Brush MANUAL DETAIL","GB","ENABLED"
"brand_search_terms","507639938821977","SB VID 280 Stretched Canvas MANUAL DETAIL","GB","ENABLED"
"brand_search_terms","461824020559496","SB VID Cutting Mat MANUAL ALL","DE","ENABLED"
"brand_search_terms","529718614010299","SB VID Cutting Mat CAT ALL","ES",""
"brand_search_terms","493993399591669","SB VID 280 Stretched Canvas Defensive to 280 Stretched Canvas","US","PAUSED"
"brand_search_terms","521221592612371","SB VID 380 Stretched Canvas MANUAL ALL","GB","ENABLED"
"brand_search_terms","380957612871122","SB VID Cutting Mat Defensive to Mat","IT",""
"brand_search_terms","439709807363200","SB VID Cutting Mat CAT ALL","JP","ENABLED"
"brand_search_terms","434549591604303","SB VID Paint Brush MANUAL ALL","GB","ENABLED"
"brand_search_terms","178468686543721","Paint Brush Vid","DE",""
"brand_search_terms","531853068173372","SB VID Cutting Mat MANUAL ALL","IT",""
"brand_search_terms","514799801019382","Stretched Canvas Store Video","DE",""
"brand_search_terms","384005319493704","Cutting Mat Store Brands Video MANUAL","NL","ENABLED"
"brand_search_terms","480418488941880","Stretched Canvas Brand Store Video MANUAL","US","ENABLED"
"brand_search_terms","449187399742095","SB VID 280 Stretched Canvas MANUAL DETAIL","ES","ENABLED"
"brand_search_terms","258160643438828","Paint Brushes Vid V2","FR",""
"brand_search_terms","410218446769050","SB VID Paint Brush CAT ALL","GB","ENABLED"
"brand_search_terms","499129091512970","SB VID Cutting Mat Defensive to Mat","DE","ENABLED"
"brand_search_terms","381891121493280","SB VID Cutting Mat CAT ALL","US","ENABLED"
"brand_search_terms","20528402183258","Detail Paint Brushes Vid V2","FR",""
"brand_search_terms","385614418263197","SB VID 280 Stretched Canvas MANUAL ALL","IT","ENABLED"
"brand_search_terms","540501213615239","SB VID 280 Stretched Canvas MANUAL DETAIL","DE","ENABLED"
"brand_search_terms","560407899029464","SB VID 280 Stretched Canvas CAT ALL","IT","ENABLED"
"brand_search_terms","366170732598351","SB VID 280 Stretched Canvas CAT ALL","GB","ENABLED"
"brand_search_terms","528018809052679","SB VID Cutting Mat CAT ALL","GB","ENABLED"
"brand_search_terms","315699613266232","SB VID Cutting Mat MANUAL ALL","ES",""
"brand_placement","293115580607167","SB VID 280 Stretched Canvas Defensive to 280 Stretched Canvas","","ENABLED"
"brand_placement","315249417870369","SB VID 280 Stretched Canvas Defensive to 380 Stretched Canvas","","ARCHIVED"
"brand_placement","380957612871122","SB VID Cutting Mat Defensive to Mat","","ENABLED"
"brand_placement","480418488941880","Stretched Canvas Brand Store Video MANUAL","","PAUSED"
"brand_placement","557100236062425","SB VID 280 Stretched Canvas CAT ALL","","PAUSED"
"brand_placement","469415573168930","SB VID 280 Stretched Canvas MANUAL ALL","","ENABLED"
"brand_placement","439709807363200","SB VID Cutting Mat CAT ALL","","ENABLED"
"brand_placement","496184004053963","SB VID Cutting Mat MANUAL ALL","",""
"brand_placement","495487579055746","SB VID Cutting Mat CAT ALL","","ENABLED"
"brand_placement","380802983049729","SB VID 280 Stretched Canvas Defensive to 380 Stretched Canvas (DETAIL)","","ENABLED"
"brand_placement","480418488941880","Stretched Canvas Brand Store Video MANUAL","",""
"brand_placement","514799801019382","Stretched Canvas Store Video","",""
"brand_placement","560407899029464","SB VID 280 Stretched Canvas CAT ALL","","ENABLED"
"brand_placement","366170732598351","SB VID 280 Stretched Canvas CAT ALL","","ENABLED"
"brand_placement","514799801019382","Stretched Canvas Store Video","","ENABLED"
"brand_placement","410218446769050","SB VID Paint Brush CAT ALL","","ENABLED"
"brand_placement","411918574787817","SB VID 280 Stretched Canvas MANUAL DETAIL","","ENABLED"
"brand_placement","499129091512970","SB VID Cutting Mat Defensive to Mat","","ENABLED"
